policy,parameter,category,subcategory,text_passage,similarity_score,chunk_index
Partnership on AI: Data Enrichment Sourcing Guidelines,Gender,Worker rights,Anti-discrimination policies,"In other instances
a consistent workforce may not be appropriate;
for example if data collection would benefit from
diversity or broader coverage of individuals.",0.28187790513038635,18
Partnership on AI: Data Enrichment Sourcing Guidelines,Gender,Worker rights,Anti-discrimination policies,"Depending on the data enrichment project, AI during an official pilot, before becoming verified. the project and ensure that workers know who and
practitioners may need to identify a demographically Instructions should typically include examples of how to raise questions or concerns with, including
representative set of workers or identify workers with correctly and incorrectly completed tasks and, for contesting any rejected work. the relevant demographic background necessary more difficult studies, allow workers a few practice
to complete the task (e.g.",0.27241212129592896,12
Partnership on AI: Data Enrichment Sourcing Guidelines,Gender,Worker rights,Anti-discrimination policies,"the project design so AI practitioners can make
tasks such as data annotation, data cleaning, adjustments before the full data enrichment project
and human review of algorithmic outputs. For more information on Global Living Wage, is done under the same conditions. Pilots should also
please see Annex 1 of PAI’s white paper.",0.23774956166744232,2
Partnership on AI: Data Enrichment Sourcing Guidelines,Race and ethnicity,Worker rights,Anti-discrimination policies,"Depending on the data enrichment project, AI during an official pilot, before becoming verified. the project and ensure that workers know who and
practitioners may need to identify a demographically Instructions should typically include examples of how to raise questions or concerns with, including
representative set of workers or identify workers with correctly and incorrectly completed tasks and, for contesting any rejected work. the relevant demographic background necessary more difficult studies, allow workers a few practice
to complete the task (e.g.",0.29104021191596985,12
Partnership on AI: Data Enrichment Sourcing Guidelines,Race and ethnicity,Worker rights,Anti-discrimination policies,"In other instances
a consistent workforce may not be appropriate;
for example if data collection would benefit from
diversity or broader coverage of individuals.",0.28859034180641174,18
Partnership on AI: Data Enrichment Sourcing Guidelines,Race and ethnicity,Worker rights,Anti-discrimination policies,"the relevant demographic background necessary more difficult studies, allow workers a few practice
to complete the task (e.g. cultural background, age tasks before launching a new data enrichment Irrespective of whether your data enrichment
range, location). AI Practitioners should be mindful project.",0.23355542123317719,13
Partnership on AI: Data Enrichment Sourcing Guidelines,Sexual orientation,Worker rights,Anti-discrimination policies,"Depending on the data enrichment project, AI during an official pilot, before becoming verified. the project and ensure that workers know who and
practitioners may need to identify a demographically Instructions should typically include examples of how to raise questions or concerns with, including
representative set of workers or identify workers with correctly and incorrectly completed tasks and, for contesting any rejected work. the relevant demographic background necessary more difficult studies, allow workers a few practice
to complete the task (e.g.",0.17413567006587982,12
Partnership on AI: Data Enrichment Sourcing Guidelines,Sexual orientation,Worker rights,Anti-discrimination policies,"In other instances
a consistent workforce may not be appropriate;
for example if data collection would benefit from
diversity or broader coverage of individuals.",0.1669989377260208,18
Partnership on AI: Data Enrichment Sourcing Guidelines,Sexual orientation,Worker rights,Anti-discrimination policies,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.12097229063510895,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Disability,Worker rights,Anti-discrimination policies,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.28872162103652954,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Disability,Worker rights,Anti-discrimination policies,"adjust targets, and compensation, accordingly. AI Practitioners should pay for any work completed
by workers to compensate for their time, being
mindful that mass rejections of work completed
without opportunities for redress impact the
workers’ livelihood. The only exceptions should be
in the cases of obvious abuse or fraud.",0.28742480278015137,9
Partnership on AI: Data Enrichment Sourcing Guidelines,Disability,Worker rights,Anti-discrimination policies,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.24308407306671143,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Contracts – general,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.35279378294944763,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Contracts – general,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.3205443322658539,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Contracts – general,Employer and platform/contractor responsibilities,Contracts,"adjust targets, and compensation, accordingly. AI Practitioners should pay for any work completed
by workers to compensate for their time, being
mindful that mass rejections of work completed
without opportunities for redress impact the
workers’ livelihood. The only exceptions should be
in the cases of obvious abuse or fraud.",0.3194565773010254,9
Partnership on AI: Data Enrichment Sourcing Guidelines,Transparent and easy to understand,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.420333594083786,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Transparent and easy to understand,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.26837775111198425,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Transparent and easy to understand,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should be mindful project. Please refer to this checklist to help guide project involves one off interactions with workers
when designing eligibility criteria, assuring the you in what to include as a part of your instructions or reengagement with the same pool over time, AI
requirements for successful task completion are and training materials. Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g.",0.22019857168197632,14
Partnership on AI: Data Enrichment Sourcing Guidelines,Non-compete clauses,Employer and platform/contractor responsibilities,Contracts,"In other instances
a consistent workforce may not be appropriate;
for example if data collection would benefit from
diversity or broader coverage of individuals.",0.36062726378440857,18
Partnership on AI: Data Enrichment Sourcing Guidelines,Non-compete clauses,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.2740221917629242,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Non-compete clauses,Employer and platform/contractor responsibilities,Contracts,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.26501718163490295,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Non-disclosure agreements (NDAs),Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.2778521776199341,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Non-disclosure agreements (NDAs),Employer and platform/contractor responsibilities,Contracts,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.24804189801216125,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Non-disclosure agreements (NDAs),Employer and platform/contractor responsibilities,Contracts,"In other instances
a consistent workforce may not be appropriate;
for example if data collection would benefit from
diversity or broader coverage of individuals.",0.1978599578142166,18
Partnership on AI: Data Enrichment Sourcing Guidelines,Notice period,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.1909170001745224,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Notice period,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.1772027313709259,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Notice period,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should be mindful project. Please refer to this checklist to help guide project involves one off interactions with workers
when designing eligibility criteria, assuring the you in what to include as a part of your instructions or reengagement with the same pool over time, AI
requirements for successful task completion are and training materials. Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g.",0.1704498827457428,14
Partnership on AI: Data Enrichment Sourcing Guidelines,Severance pay,Employer and platform/contractor responsibilities,Contracts,"adjust targets, and compensation, accordingly. AI Practitioners should pay for any work completed
by workers to compensate for their time, being
mindful that mass rejections of work completed
without opportunities for redress impact the
workers’ livelihood. The only exceptions should be
in the cases of obvious abuse or fraud.",0.33321496844291687,9
Partnership on AI: Data Enrichment Sourcing Guidelines,Severance pay,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.27592816948890686,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Severance pay,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.2628028094768524,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Unpaid waiting periods,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should
to time, whilst also protecting workers against or platforms being used. Instructions should clarify expectations around communication
the economic impacts of wasted time or rejected undergo review by a representative group of workers cadence with workers or managers before starting
tasks. Depending on the data enrichment project, AI during an official pilot, before becoming verified.",0.3896249234676361,11
Partnership on AI: Data Enrichment Sourcing Guidelines,Unpaid waiting periods,Employer and platform/contractor responsibilities,Contracts,"adjust targets, and compensation, accordingly. AI Practitioners should pay for any work completed
by workers to compensate for their time, being
mindful that mass rejections of work completed
without opportunities for redress impact the
workers’ livelihood. The only exceptions should be
in the cases of obvious abuse or fraud.",0.35612374544143677,9
Partnership on AI: Data Enrichment Sourcing Guidelines,Unpaid waiting periods,Employer and platform/contractor responsibilities,Contracts,"the space. submission. The per task rate should be based
on the hourly living wage, divided by the adjusted
To learn more about how this resource number of tasks that can be completed in an hour.",0.35004299879074097,7
Partnership on AI: Data Enrichment Sourcing Guidelines,Work related expenses,Employer and platform/contractor responsibilities,Contracts,"adjust targets, and compensation, accordingly. AI Practitioners should pay for any work completed
by workers to compensate for their time, being
mindful that mass rejections of work completed
without opportunities for redress impact the
workers’ livelihood. The only exceptions should be
in the cases of obvious abuse or fraud.",0.29756447672843933,9
Partnership on AI: Data Enrichment Sourcing Guidelines,Work related expenses,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.2696506381034851,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Work related expenses,Employer and platform/contractor responsibilities,Contracts,"The per task rate should be based
on the hourly living wage, divided by the adjusted
To learn more about how this resource number of tasks that can be completed in an hour. Furthermore, researchers should track completion
was developed, visit PAI’s responsible data
times throughout the data enrichment project and
enrichment sourcing library. adjust targets, and compensation, accordingly.",0.2399846613407135,8
Partnership on AI: Data Enrichment Sourcing Guidelines,Collective bargaining agreement,Employer and platform/contractor responsibilities,Contracts,"In other instances
a consistent workforce may not be appropriate;
for example if data collection would benefit from
diversity or broader coverage of individuals.",0.25880247354507446,18
Partnership on AI: Data Enrichment Sourcing Guidelines,Collective bargaining agreement,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.24443213641643524,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Collective bargaining agreement,Employer and platform/contractor responsibilities,Contracts,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.243508979678154,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Training and guidelines for workers and managers,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.4400051236152649,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Training and guidelines for workers and managers,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.43791642785072327,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Training and guidelines for workers and managers,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should be mindful project. Please refer to this checklist to help guide project involves one off interactions with workers
when designing eligibility criteria, assuring the you in what to include as a part of your instructions or reengagement with the same pool over time, AI
requirements for successful task completion are and training materials. Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g.",0.4202485978603363,14
Partnership on AI: Data Enrichment Sourcing Guidelines,Information on purpose of work,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.43258365988731384,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Information on purpose of work,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should
to time, whilst also protecting workers against or platforms being used. Instructions should clarify expectations around communication
the economic impacts of wasted time or rejected undergo review by a representative group of workers cadence with workers or managers before starting
tasks. Depending on the data enrichment project, AI during an official pilot, before becoming verified.",0.4203725755214691,11
Partnership on AI: Data Enrichment Sourcing Guidelines,Information on purpose of work,Employer and platform/contractor responsibilities,Contracts,"Depending on the data enrichment project, AI during an official pilot, before becoming verified. the project and ensure that workers know who and
practitioners may need to identify a demographically Instructions should typically include examples of how to raise questions or concerns with, including
representative set of workers or identify workers with correctly and incorrectly completed tasks and, for contesting any rejected work. the relevant demographic background necessary more difficult studies, allow workers a few practice
to complete the task (e.g.",0.4152161777019501,12
Partnership on AI: Data Enrichment Sourcing Guidelines,Identifying risks and harms to workers,Employer and platform/contractor responsibilities,Contracts,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.39712637662887573,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Identifying risks and harms to workers,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should
to time, whilst also protecting workers against or platforms being used. Instructions should clarify expectations around communication
the economic impacts of wasted time or rejected undergo review by a representative group of workers cadence with workers or managers before starting
tasks. Depending on the data enrichment project, AI during an official pilot, before becoming verified.",0.3700808882713318,11
Partnership on AI: Data Enrichment Sourcing Guidelines,Identifying risks and harms to workers,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.3378708064556122,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Human oversight in management,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should
to time, whilst also protecting workers against or platforms being used. Instructions should clarify expectations around communication
the economic impacts of wasted time or rejected undergo review by a representative group of workers cadence with workers or managers before starting
tasks. Depending on the data enrichment project, AI during an official pilot, before becoming verified.",0.45326027274131775,11
Partnership on AI: Data Enrichment Sourcing Guidelines,Human oversight in management,Employer and platform/contractor responsibilities,Contracts,"Depending on the data enrichment project, AI during an official pilot, before becoming verified. the project and ensure that workers know who and
practitioners may need to identify a demographically Instructions should typically include examples of how to raise questions or concerns with, including
representative set of workers or identify workers with correctly and incorrectly completed tasks and, for contesting any rejected work. the relevant demographic background necessary more difficult studies, allow workers a few practice
to complete the task (e.g.",0.4156363606452942,12
Partnership on AI: Data Enrichment Sourcing Guidelines,Human oversight in management,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should be mindful project. Please refer to this checklist to help guide project involves one off interactions with workers
when designing eligibility criteria, assuring the you in what to include as a part of your instructions or reengagement with the same pool over time, AI
requirements for successful task completion are and training materials. Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g.",0.39910104870796204,14
Partnership on AI: Data Enrichment Sourcing Guidelines,Credentials for skills and experience,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.3687494993209839,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Credentials for skills and experience,Employer and platform/contractor responsibilities,Contracts,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.35416293144226074,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Credentials for skills and experience,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.35327744483947754,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Mental health support,Employer and platform/contractor responsibilities,Contracts,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.37780314683914185,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Mental health support,Employer and platform/contractor responsibilities,Contracts,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.33000096678733826,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Mental health support,Employer and platform/contractor responsibilities,Contracts,"AI Practitioners should be mindful project. Please refer to this checklist to help guide project involves one off interactions with workers
when designing eligibility criteria, assuring the you in what to include as a part of your instructions or reengagement with the same pool over time, AI
requirements for successful task completion are and training materials. Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g.",0.3190991282463074,14
Partnership on AI: Data Enrichment Sourcing Guidelines,Responsibility for upholding/implementing,Employer and platform/contractor responsibilities,Enforceability mechanisms,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.40202900767326355,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Responsibility for upholding/implementing,Employer and platform/contractor responsibilities,Enforceability mechanisms,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.360387921333313,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Responsibility for upholding/implementing,Employer and platform/contractor responsibilities,Enforceability mechanisms,"adjust targets, and compensation, accordingly. AI Practitioners should pay for any work completed
by workers to compensate for their time, being
mindful that mass rejections of work completed
without opportunities for redress impact the
workers’ livelihood. The only exceptions should be
in the cases of obvious abuse or fraud.",0.3401036262512207,9
Partnership on AI: Data Enrichment Sourcing Guidelines,Accountability in case of harms,Employer and platform/contractor responsibilities,Enforceability mechanisms,"adjust targets, and compensation, accordingly. AI Practitioners should pay for any work completed
by workers to compensate for their time, being
mindful that mass rejections of work completed
without opportunities for redress impact the
workers’ livelihood. The only exceptions should be
in the cases of obvious abuse or fraud.",0.3066212832927704,9
Partnership on AI: Data Enrichment Sourcing Guidelines,Accountability in case of harms,Employer and platform/contractor responsibilities,Enforceability mechanisms,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.2998720705509186,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Accountability in case of harms,Employer and platform/contractor responsibilities,Enforceability mechanisms,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.2882023751735687,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Third party audits,Employer and platform/contractor responsibilities,Enforceability mechanisms,"AI Practitioners should
to time, whilst also protecting workers against or platforms being used. Instructions should clarify expectations around communication
the economic impacts of wasted time or rejected undergo review by a representative group of workers cadence with workers or managers before starting
tasks. Depending on the data enrichment project, AI during an official pilot, before becoming verified.",0.2859843671321869,11
Partnership on AI: Data Enrichment Sourcing Guidelines,Third party audits,Employer and platform/contractor responsibilities,Enforceability mechanisms,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.2635715901851654,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Third party audits,Employer and platform/contractor responsibilities,Enforceability mechanisms,"The only exceptions should be
in the cases of obvious abuse or fraud. Identify appropriate data Provide verified instructions Establish clear and
3 4 5
enrichment workers for the and/or training materials regular communication
desired task for data enrichment workers mechanisms
Matching data enrichment tasks to the skill set, Create clear training materials for data enrichment Clear communication is critical to ensuring workers
expertise, and/or demographic category of workers tasks, taking into account the existing and required have the necessary information to effectively and
can ensure your data enrichment project keeps domain knowledge of workers, as well as the tools efficiently complete tasks. AI Practitioners should
to time, whilst also protecting workers against or platforms being used.",0.24452699720859528,10
Partnership on AI: Data Enrichment Sourcing Guidelines,Legal enforceability,Employer and platform/contractor responsibilities,Enforceability mechanisms,"Pilots should also
please see Annex 1 of PAI’s white paper. These are be used to test the clarity of the instructions and
This document lists five key, worker-centric calculated at a country-level basis; if more exact gather feedback on worker experience, looking at task
locations are provided (e.g. State/City), please use the design and tool usability.",0.1920669823884964,3
Partnership on AI: Data Enrichment Sourcing Guidelines,Legal enforceability,Employer and platform/contractor responsibilities,Enforceability mechanisms,"Practitioners must ensure that workers are provided
clear and only relevant to the task (e.g. language with clear mechanisms for asking questions,
proficiency or domain knowledge) and not onerous, Note: As discussed in 1, time spent reading instructions reporting concerns or technical issues that may
overly limiting or potentially identifying. or in training should be compensated.",0.17692384123802185,15
Partnership on AI: Data Enrichment Sourcing Guidelines,Legal enforceability,Employer and platform/contractor responsibilities,Enforceability mechanisms,"AI Practitioners should
to time, whilst also protecting workers against or platforms being used. Instructions should clarify expectations around communication
the economic impacts of wasted time or rejected undergo review by a representative group of workers cadence with workers or managers before starting
tasks. Depending on the data enrichment project, AI during an official pilot, before becoming verified.",0.1731490194797516,11
Partnership on AI: Data Enrichment Sourcing Guidelines,Enforcing authority,Employer and platform/contractor responsibilities,Enforceability mechanisms,"AI Practitioners should
to time, whilst also protecting workers against or platforms being used. Instructions should clarify expectations around communication
the economic impacts of wasted time or rejected undergo review by a representative group of workers cadence with workers or managers before starting
tasks. Depending on the data enrichment project, AI during an official pilot, before becoming verified.",0.16693392395973206,11
